City,Airport Name,IATA Code,Country,Region
Atlanta,Hartsfield–Jackson Atlanta Intl,ATL,United States,North America
Beijing,Beijing Capital Intl,PEK,China,Asia
London,Heathrow Airport,LHR,United Kingdom,Europe
Tokyo,Haneda Airport,HND,Japan,Asia
Dubai,Dubai Intl,DXB,United Arab Emirates,Middle East
Los Angeles,Los Angeles Intl,LAX,United States,North America
Chicago,O'Hare Intl,ORD,United States,North America
Paris,Charles de Gaulle,CDG,France,Europe
Amsterdam,Schiphol Airport,AMS,Netherlands,Europe
Hong Kong,Hong Kong Intl,HKG,Hong Kong,Asia
Singapore,Changi Airport,SIN,Singapore,Asia
Frankfurt,Frankfurt Airport,FRA,Germany,Europe
Seoul,Incheon Intl,ICN,South Korea,Asia
Istanbul,Istanbul Airport,IST,Türkiye,Europe/Asia
Dallas–Fort Worth,DFW Intl,DFW,United States,North America
Denver,Denver Intl,DEN,United States,North America
Bangkok,Suvarnabhumi Airport,BKK,Thailand,Asia
Madrid,Adolfo Suárez Madrid–Barajas,MAD,Spain,Europe
Barcelona,Barcelona–El Prat,BCN,Spain,Europe
Toronto,Toronto Pearson Intl,YYZ,Canada,North America
Sydney,Kingsford Smith Airport,SYD,Australia,Oceania
Melbourne,Melbourne Airport,MEL,Australia,Oceania
São Paulo,Guarulhos Intl,GRU,Brazil,South America
Mexico City,Mexico City Intl,MEX,Mexico,North America
Doha,Hamad Intl,DOH,Qatar,Middle East
Zurich,Zurich Airport,ZRH,Switzerland,Europe
Vienna,Vienna Intl,VIE,Austria,Europe
Rome,Leonardo da Vinci–Fiumicino,FCO,Italy,Europe
Milan,Malpensa Airport,MXP,Italy,Europe
Munich,Munich Airport,MUC,Germany,Europe
Copenhagen,Copenhagen Airport,CPH,Denmark,Europe
Stockholm,Arlanda Airport,ARN,Sweden,Europe
Oslo,Gardermoen Airport,OSL,Norway,Europe
Helsinki,Helsinki–Vantaa,HEL,Finland,Europe
Brussels,Brussels Airport,BRU,Belgium,Europe
Dublin,Dublin Airport,DUB,Ireland,Europe
Lisbon,Humberto Delgado Airport,LIS,Portugal,Europe
Athens,Athens Intl,ATH,Greece,Europe
Warsaw,Chopin Airport,WAW,Poland,Europe
